,Country Name,Country Code,year,annualFreshwater,arableLand,foodProductionIndex,agriculturalGDP,name,region,sub-region,AgriculturalLand,GDP,aGDP
123,Singapore,SGP,2007,1.890368,0.000152552,79.91000366,0.042867997,Singapore,Asia,South-eastern Asia,1.151079137,180942000000.0,7756621113.174
124,Singapore,SGP,2012,0.9602005,0.00011859,86.77999878,0.033326961,Singapore,Asia,South-eastern Asia,1.033994334,295087000000.0,9834352940.607
125,Singapore,SGP,2017,0.4921,9.98e-05,134.9900055,0.030773118,Singapore,Asia,South-eastern Asia,0.930888575,343338000000.0,10565580787.883999
126,Syrian Arab Republic,SYR,1977,4.387555556,0.63059415,47.90000153,19.87191352,Syrian Arab Republic,Asia,Western Asia,76.3956905,6882292994.0,136764331196.06987
127,Syrian Arab Republic,SYR,1982,7.006444444,0.551394722,74.66000366,19.9104495,Syrian Arab Republic,Asia,Western Asia,76.79290456,17525605096.0,348942675220.85065
128,Syrian Arab Republic,SYR,1987,9.625333333,0.43834756,67.01999664,25.33982711,Syrian Arab Republic,Asia,Western Asia,75.67199913,32538089172.0,824509554108.2432
129,Syrian Arab Republic,SYR,1992,12.24422222,0.361398212,86.16999817,31.71245594,Syrian Arab Republic,Asia,Western Asia,74.07226031,33107349666.0,1049915367573.1987
130,Syrian Arab Republic,SYR,1997,14.427,0.314392301,88.76000214,25.77387204,Syrian Arab Republic,Asia,Western Asia,75.11154641,66420400891.0,1711910913410.136
131,Syrian Arab Republic,SYR,2002,16.359,0.268838163,127.6900024,25.00504172,Syrian Arab Republic,Asia,Western Asia,74.86668843,90558485523.0,2264418708602.6313
132,Syrian Arab Republic,SYR,2007,14.1444,0.238250265,130.7299957,19.45880867,Syrian Arab Republic,Asia,Western Asia,75.67523415,180030000000.0,3503169324860.1
133,Syrian Arab Republic,SYR,2012,13.9644,0.228241681,131.7799988,23.43229828,Syrian Arab Republic,Asia,Western Asia,75.81005282,42807315976.0,1003073796515.8414
134,Syrian Arab Republic,SYR,2017,13.9644,0.272700647,107.6200027,40.7894913,Syrian Arab Republic,Asia,Western Asia,75.81005282,16112991412.0,657240723016.7488
135,Tunisia,TUN,1977,1.402,0.595781254,38.18999863,15.81732743,Tunisia,Africa,Northern Africa,59.01776519,5109324009.0,80815850796.31326
136,Tunisia,TUN,1982,2.06,0.468806561,32.83000183,13.15460828,Tunisia,Africa,Northern Africa,56.74562307,8133401050.0,106991704796.89069
137,Tunisia,TUN,1987,2.61,0.386976149,49.72999954,16.46733787,Tunisia,Africa,Northern Africa,55.97322348,9696271268.0,159671775049.32935
138,Tunisia,TUN,1992,2.9798,0.337595653,58.13999939,16.12237155,Tunisia,Africa,Northern Africa,60.21498455,15497286296.0,249853007680.8353
139,Tunisia,TUN,1997,2.7602,0.302816814,56.25,11.23460342,Tunisia,Africa,Northern Africa,60.16349125,20746360430.0,233077131839.43066
140,Tunisia,TUN,2002,2.824,0.280713882,58.43999863,8.298481514,Tunisia,Africa,Northern Africa,62.84114315,23142153760.0,192044735171.5056
141,Tunisia,TUN,2007,2.899,0.265218037,83.88999939,8.642019874,Tunisia,Africa,Northern Africa,63.11148301,38914078352.0,336296238496.3772
142,Tunisia,TUN,2012,3.4755,0.262561246,96.05000305,8.300262898,Tunisia,Africa,Northern Africa,63.86457261,47311196335.0,392695367599.39404
143,Tunisia,TUN,2017,4.768,0.228015405,94.47000122,8.986062195,Tunisia,Africa,Northern Africa,62.71240989,42163974956.0,378888101343.0384
144,United Arab Emirates,ARE,1982,1.061066667,0.015453084,22.17000008,0.640366458,United Arab Emirates,Asia,Western Asia,3.196282737,46622718605.0,29855625175.41455
145,United Arab Emirates,ARE,1987,1.463733333,0.018910667,25.76000023,1.143229342,United Arab Emirates,Asia,Western Asia,3.351168685,36384908744.0,41596295282.13316
146,United Arab Emirates,ARE,1992,1.6146,0.018510472,55.95999908,1.378621078,United Arab Emirates,Asia,Western Asia,4.773303295,54239171888.0,74775265618.06186
147,United Arab Emirates,ARE,1997,2.04144,0.016845346,94.69999695,2.004021865,United Arab Emirates,Asia,Western Asia,5.561813574,78839008445.0,157995096738.69965
148,United Arab Emirates,ARE,2002,2.249986667,0.02155935,120.9700012,2.203322589,United Arab Emirates,Asia,Western Asia,7.969586032,109816000000.0,241960073433.624
149,United Arab Emirates,ARE,2007,2.770727273,0.007229877,112.4499969,0.976671168,United Arab Emirates,Asia,Western Asia,7.499295973,257916000000.0,251899120965.888
150,United Arab Emirates,ARE,2012,2.697545455,0.004058371,77.31999969,0.638882185,United Arab Emirates,Asia,Western Asia,5.304139679,374591000000.0,239319516561.33502
151,United Arab Emirates,ARE,2017,2.562,0.004690527,104.1800003,0.77054734,United Arab Emirates,Asia,Western Asia,5.404111518,385606000000.0,297127677588.04004
152,Austria,AUT,1982,3.4348,0.202663273,105.2900009,3.646038873,Austria,Europe,Western Europe,38.05643013,71275287570.0,259872469164.47372
153,Austria,AUT,1987,3.6682,0.18997738,98.26999664,3.197493224,Austria,Europe,Western Europe,36.66747396,124168000000.0,397026338637.632
154,Austria,AUT,1992,3.6618,0.183146703,94.83999634,2.453334563,Austria,Europe,Western Europe,36.48583192,195078000000.0,478591599880.914
155,Austria,AUT,1997,3.642,0.176454915,93.30999756,1.905483443,Austria,Europe,Western Europe,35.89973359,212790000000.0,405467821835.97003
156,Austria,AUT,2002,3.577,0.171369385,96.94999695,1.562774411,Austria,Europe,Western Europe,35.14410269,214395000000.0,335051019846.345
157,Austria,AUT,2007,3.522625,0.165873324,97.91999817,1.41639156,Austria,Europe,Western Europe,34.27183996,389186000000.0,551239765670.16
